DATE,NHSE_REGION_CODE,NHSE_REGION_NAME,ICS_CODE,ICS_NAME,ORG_CODE,ORG_NAME,CLUSTER_GROUP,BENCHMARK_GROUP,STAFF_GROUP,FTE_DAYS_LOST,FTE_DAYS_AVAILABLE,SICKNESS_ABSENCE_RATE_PERCENT
29/02/2024,Y63,North East and Yorkshire,QHM,North East and North Cumbria,RNN,North Cumbria Integrated Care NHS Foundation Trust,Acute,Acute - Medium,Nurses & health visitors,2657.17447,54545.04902,4.87
29/02/2024,Y63,North East and Yorkshire,QHM,North East and North Cumbria,RNN,North Cumbria Integrated Care NHS Foundation Trust,Acute,Acute - Medium,"Scientific, therapeutic & technical staff",1188.5466,24557.58477,4.84
29/02/2024,Y63,North East and Yorkshire,QHM,North East and North Cumbria,RNN,North Cumbria Integrated Care NHS Foundation Trust,Acute,Acute - Medium,Senior managers,1.0,1142.90663,0.09
29/02/2024,Y63,North East and Yorkshire,QHM,North East and North Cumbria,RNN,North Cumbria Integrated Care NHS Foundation Trust,Acute,Acute - Medium,Support to ST&T staff,863.34523,11013.71212,7.84
29/02/2024,Y63,North East and Yorkshire,QHM,North East and North Cumbria,RNN,North Cumbria Integrated Care NHS Foundation Trust,Acute,Acute - Medium,"Support to doctors, nurses & midwives",3321.04711,48219.41259,6.89
29/02/2024,Y60,Midlands,QPM,Northamptonshire,RNQ,Kettering General Hospital NHS Foundation Trust,Acute,Acute - Small,All staff groups,6734.47761,127953.80144,5.26
29/02/2024,Y60,Midlands,QPM,Northamptonshire,RNQ,Kettering General Hospital NHS Foundation Trust,Acute,Acute - Small,HCHS Doctors,458.81875,15279.03225,3.0
29/02/2024,Y60,Midlands,QPM,Northamptonshire,RNQ,Kettering General Hospital NHS Foundation Trust,Acute,Acute - Small,Ambulance staff,,,
29/02/2024,Y60,Midlands,QPM,Northamptonshire,RNQ,Kettering General Hospital NHS Foundation Trust,Acute,Acute - Small,Central functions,328.13331,8756.7339,3.75
29/02/2024,Y60,Midlands,QPM,Northamptonshire,RNQ,Kettering General Hospital NHS Foundation Trust,Acute,Acute - Small,"Hotel, property & estates",466.93301,6926.7718,6.74
